Time,UTC TIME,anum,fnum,height,speed,angle,longitude,latitude
1605443731.0,2020-11-15 12:35:30,B8383,CCA1884,403.86,290.764,353.0,40.105309999999996,116.61182
1605443760.0,2020-11-15 12:36:00,B8383,CCA1884,746.76,290.764,353.0,40.11807,116.619
1605443792.0,2020-11-15 12:36:30,B8383,CCA1884,975.36,324.1,29.0,40.13669,116.63217
1605443830.0,2020-11-15 12:37:00,B8383,CCA1884,1181.1,424.108,50.0,40.159240000000004,116.64893000000001
1605443868.0,2020-11-15 12:37:30,B8383,CCA1884,1775.46,485.224,84.0,40.1744,116.73167
1605443881.0,2020-11-15 12:38:00,B8383,CCA1884,1981.2,485.224,84.0,40.17514,116.74135
1605443912.0,2020-11-15 12:38:30,B8383,CCA1884,2491.74,505.596,83.0,40.179109999999994,116.78856999999999
1605443943.0,2020-11-15 12:39:00,B8383,CCA1884,2918.46,533.376,68.0,40.18419,116.83221
1605443974.0,2020-11-15 12:39:30,B8383,CCA1884,3307.08,559.304,100.0,40.19247,116.91089
1605444003.0,2020-11-15 12:40:00,B8383,CCA1884,3482.34,638.94,134.0,40.177,116.93878000000001
1605444040.0,2020-11-15 12:40:30,B8383,CCA1884,3901.44,683.388,133.0,40.124359999999996,117.00946
1605444063.0,2020-11-15 12:41:00,B8383,CCA1884,4206.24,688.944,133.0,40.09367,117.05096
1605444097.0,2020-11-15 12:41:30,B8383,CCA1884,4686.3,707.4639999999997,133.0,40.05038,117.10958000000001
1605444126.0,2020-11-15 12:42:00,B8383,CCA1884,5074.92,716.7239999999997,148.0,40.04465,117.11731999999999
1605444153.0,2020-11-15 12:42:30,B8383,CCA1884,5288.28,735.2439999999997,181.0,39.96309,117.16406
1605444188.0,2020-11-15 12:43:00,B8383,CCA1884,5554.98,735.2439999999997,198.0,39.92553,117.1519
1605444218.0,2020-11-15 12:43:30,B8383,CCA1884,5692.14,740.8,197.0,39.8627,117.12727
1605444243.0,2020-11-15 12:44:00,B8383,CCA1884,5699.76,742.6519999999997,197.0,39.827,117.1139
1605444278.0,2020-11-15 12:44:30,B8383,CCA1884,5699.76,748.2080000000003,197.0,39.75929,117.08821999999999
1605444302.0,2020-11-15 12:45:00,B8383,CCA1884,5699.76,750.06,196.0,39.73774,117.07996000000001
1605444344.0,2020-11-15 12:45:30,B8383,CCA1884,5699.76,755.6160000000001,177.0,39.64863,117.0722
1605444375.0,2020-11-15 12:46:00,B8383,CCA1884,5699.76,751.9119999999997,178.0,39.58928,117.0752
1605444391.0,2020-11-15 12:46:30,B8383,CCA1884,5730.24,751.9119999999997,178.0,39.54222,117.07733
1605444435.0,2020-11-15 12:47:00,B8383,CCA1884,6172.2,764.8760000000003,177.0,39.44697,117.08221
1605444451.0,2020-11-15 12:47:30,B8383,CCA1884,6339.84,764.8760000000003,177.0,39.41684,117.08381000000001
1605444490.0,2020-11-15 12:48:00,B8383,CCA1884,6743.7,792.6560000000003,177.0,39.37723,117.08588
1605444514.0,2020-11-15 12:48:30,B8383,CCA1884,7002.78,796.36,177.0,39.29036,117.09048999999999
1605444541.0,2020-11-15 12:49:00,B8383,CCA1884,7239.0,803.768,177.0,39.244609999999994,117.0929
1605444576.0,2020-11-15 12:49:30,B8383,CCA1884,7551.42,814.88,177.0,39.16724,117.09698
1605444607.0,2020-11-15 12:50:00,B8383,CCA1884,7985.76,801.916,177.0,39.12762,117.09908999999999
1605444639.0,2020-11-15 12:50:30,B8383,CCA1884,8237.22,811.176,177.0,39.043409999999994,117.10345
1605444668.0,2020-11-15 12:51:00,B8383,CCA1884,8473.44,816.732,177.0,39.00114,117.10566000000001
1605444693.0,2020-11-15 12:51:30,B8383,CCA1884,8679.18,818.584,177.0,38.92708,117.10954
1605444724.0,2020-11-15 12:52:00,B8383,CCA1884,8862.06,827.8439999999997,177.0,38.87274,117.11235
1605444755.0,2020-11-15 12:52:30,B8383,CCA1884,9075.42,835.252,177.0,38.81277,117.11538999999999
1605444786.0,2020-11-15 12:53:00,B8383,CCA1884,9281.16,838.956,177.0,38.76489,117.1179
1605444813.0,2020-11-15 12:53:30,B8383,CCA1884,9464.04,840.808,177.0,38.67975,117.12232
1605444845.0,2020-11-15 12:54:00,B8383,CCA1884,9662.16,846.3639999999997,177.0,38.62907,117.12495
1605444875.0,2020-11-15 12:54:30,B8383,CCA1884,9936.48,844.512,177.0,38.55753,117.12865
1605444914.0,2020-11-15 12:55:00,B8383,CCA1884,10088.88,844.512,177.0,38.50089000000001,117.13158999999999
1605444933.0,2020-11-15 12:55:30,B8383,CCA1884,10088.88,857.4760000000001,177.0,38.453359999999996,117.13396999999999
1605444965.0,2020-11-15 12:56:00,B8383,CCA1884,10088.88,857.4760000000001,177.0,38.3921,117.13713
1605444990.0,2020-11-15 12:56:30,B8383,CCA1884,10088.88,857.4760000000001,177.0,38.30251,117.14166999999999
1605445024.0,2020-11-15 12:57:00,B8383,CCA1884,10088.88,861.18,177.0,38.30251,117.14166999999999
1605445072.0,2020-11-15 12:57:30,B8383,CCA1884,10088.88,866.7360000000001,177.0,38.20789,117.1464
1605445097.0,2020-11-15 12:58:00,B8383,CCA1884,10088.88,866.7360000000001,177.0,38.20789,117.1464
1605445127.0,2020-11-15 12:58:30,B8383,CCA1884,10088.88,866.7360000000001,177.0,38.20789,117.1464
1605445160.0,2020-11-15 12:59:00,B8383,CCA1884,10088.88,866.7360000000001,177.0,38.20789,117.1464
1605445193.0,2020-11-15 12:59:30,B8383,CCA1884,10088.88,866.7360000000001,177.0,38.20789,117.1464
1605445225.0,2020-11-15 13:00:00,B8383,CCA1884,10088.88,866.7360000000001,177.0,38.069766666666666,117.15339333333333
1605445257.0,2020-11-15 13:00:30,B8383,CCA1884,10088.88,866.7360000000001,177.0,37.931643333333334,117.16038666666668
1605445289.0,2020-11-15 13:01:00,B8383,CCA1884,10088.88,866.7360000000001,177.0,37.79352,117.16738000000001
1605445302.0,2020-11-15 13:01:30,B8383,CCA1884,10088.88,866.7360000000001,177.0,37.64777,117.17468000000001
1605445331.0,2020-11-15 13:02:00,B8383,CCA1884,10088.88,863.0319999999997,177.0,37.56294000000001,117.17889
1605445350.0,2020-11-15 13:02:30,B8383,CCA1884,10088.88,863.0319999999997,177.0,37.56294000000001,117.17889
1605445380.0,2020-11-15 13:03:00,B8383,CCA1884,10088.88,855.6239999999997,177.0,37.56294000000001,117.17889
1605445414.0,2020-11-15 13:03:30,B8383,CCA1884,10088.88,835.252,177.0,37.40207,117.18692
1605445449.0,2020-11-15 13:04:00,B8383,CCA1884,10081.26,825.992,177.0,37.40207,117.18692
1605445472.0,2020-11-15 13:04:30,B8383,CCA1884,10698.48,829.696,177.0,37.40207,117.18692
1605445505.0,2020-11-15 13:05:00,B8383,CCA1884,10126.98,829.696,178.0,37.20749,117.19653999999998
1605445536.0,2020-11-15 13:05:30,B8383,CCA1884,10469.88,833.4,178.0,37.143809999999995,117.19975
1605445564.0,2020-11-15 13:06:00,B8383,CCA1884,10576.56,835.252,177.0,37.07451,117.20313999999999
1605445595.0,2020-11-15 13:06:30,B8383,CCA1884,10690.86,868.5880000000003,178.0,37.03021,117.20525
1605445629.0,2020-11-15 13:07:00,B8383,CCA1884,10698.48,866.7360000000001,178.0,36.9521,117.20916000000001
1605445661.0,2020-11-15 13:07:30,B8383,CCA1884,10698.48,859.328,177.0,36.87403,117.21337
1605445688.0,2020-11-15 13:08:00,B8383,CCA1884,10698.48,870.44,171.0,36.83781,117.21786999999999
1605445715.0,2020-11-15 13:08:30,B8383,CCA1884,10698.48,877.8480000000003,167.0,36.750479999999996,117.23983999999999
1605445742.0,2020-11-15 13:09:00,B8383,CCA1884,10698.48,883.404,167.0,36.6937,117.25697
1605445772.0,2020-11-15 13:09:30,B8383,CCA1884,10698.48,885.2560000000003,166.0,36.63182000000001,117.27525
1605445808.0,2020-11-15 13:10:00,B8383,CCA1884,10698.48,879.7,166.0,36.57311,117.29273
1605445834.0,2020-11-15 13:10:30,B8383,CCA1884,10698.48,877.8480000000003,166.0,36.543820000000004,117.30143000000001
