Time,UTC TIME,anum,fnum,height,speed,angle,longitude,latitude
1605663987.0,2020-11-18 01:46:00,B2037,CCA1803,259.08,300.024,353.0,40.08362,116.59572
1605663998.0,2020-11-18 01:46:30,B2037,CCA1803,419.1,300.024,353.0,40.08897,116.59479
1605664025.0,2020-11-18 01:47:00,B2037,CCA1803,777.24,294.468,353.0,40.10936,116.59116000000002
1605664050.0,2020-11-18 01:47:30,B2037,CCA1803,1066.8,296.32,353.0,40.11793,116.5896
1605664086.0,2020-11-18 01:48:00,B2037,CCA1803,1257.3,333.36,353.0,40.15945,116.58217
1605664113.0,2020-11-18 01:48:30,B2037,CCA1803,1508.76,333.36,353.0,40.18184,116.57811
1605664143.0,2020-11-18 01:49:00,B2037,CCA1803,1912.62,505.596,353.0,40.2101,116.57293
1605664173.0,2020-11-18 01:49:30,B2037,CCA1803,2125.98,538.932,352.0,40.25651,116.5645
1605664208.0,2020-11-18 01:50:00,B2037,CCA1803,2293.62,557.452,305.0,40.2968,116.54272
1605664232.0,2020-11-18 01:50:30,B2037,CCA1803,2400.3,550.044,271.0,40.31591,116.4954
1605664267.0,2020-11-18 01:51:00,B2037,CCA1803,2499.36,537.08,235.0,40.29743,116.42611
1605664293.0,2020-11-18 01:51:30,B2037,CCA1803,2880.36,537.08,236.0,40.27959,116.39264
1605664323.0,2020-11-18 01:52:00,B2037,CCA1803,3276.6,563.008,235.0,40.25423,116.3469
1605664353.0,2020-11-18 01:52:30,B2037,CCA1803,3688.08,592.64,236.0,40.23566,116.313
1605664387.0,2020-11-18 01:53:00,B2037,CCA1803,4191.0,601.9,235.0,40.20204,116.25067
1605664415.0,2020-11-18 01:53:30,B2037,CCA1803,4602.48,618.568,235.0,40.19297,116.23378999999998
1605664444.0,2020-11-18 01:54:00,B2037,CCA1803,5052.06,624.124,235.0,40.15819000000001,116.16943
1605664476.0,2020-11-18 01:54:30,B2037,CCA1803,5494.02,638.94,235.0,40.12083,116.10065
1605664504.0,2020-11-18 01:55:00,B2037,CCA1803,5875.02,644.496,235.0,40.10381,116.0694
1605664532.0,2020-11-18 01:55:30,B2037,CCA1803,6004.56,688.944,235.0,40.06508,115.99866000000002
1605664567.0,2020-11-18 01:56:00,B2037,CCA1803,6004.56,722.28,235.0,40.03651,115.94653
1605664602.0,2020-11-18 01:56:30,B2037,CCA1803,6004.56,713.02,235.0,39.99403,115.86884
1605664636.0,2020-11-18 01:57:00,B2037,CCA1803,6004.56,714.872,235.0,39.96095,115.8087
1605664658.0,2020-11-18 01:57:30,B2037,CCA1803,6004.56,716.7239999999998,235.0,39.93411,115.75995
1605664687.0,2020-11-18 01:58:00,B2037,CCA1803,6012.18,716.7239999999998,235.0,39.90417,115.70568
1605664712.0,2020-11-18 01:58:30,B2037,CCA1803,6278.88,720.428,235.0,39.8806,115.66309
1605664746.0,2020-11-18 01:59:00,B2037,CCA1803,6789.42,724.132,235.0,39.84285,115.59473
1605664773.0,2020-11-18 01:59:30,B2037,CCA1803,7155.18,737.096,235.0,39.81358,115.54178
1605664800.0,2020-11-18 02:00:00,B2037,CCA1803,7475.22,748.2080000000002,235.0,39.78442,115.48912
1605664831.0,2020-11-18 02:00:30,B2037,CCA1803,7886.7,764.8760000000002,241.0,39.75082,115.42083999999998
