Time,UTC TIME,anum,fnum,height,speed,angle,longitude,latitude
1604887423.0,2020-11-09 02:03:30,B6511,CCA1803,289.56,294.468,325.0,40.1176,116.56438
1604887453.0,2020-11-09 02:04:00,B6511,CCA1803,571.5,281.504,323.0,40.12579,116.55658
1604887475.0,2020-11-09 02:04:30,B6511,CCA1803,662.94,351.88,316.0,40.14386,116.53552
1604887504.0,2020-11-09 02:05:00,B6511,CCA1803,861.06,442.628,318.0,40.16899,116.50403
1604887534.0,2020-11-09 02:05:30,B6511,CCA1803,1310.64,448.184,318.0,40.18892,116.48042
1604887565.0,2020-11-09 02:06:00,B6511,CCA1803,1996.44,427.812,315.0,40.2014,116.46525
1604887598.0,2020-11-09 02:06:30,B6511,CCA1803,2430.78,470.408,316.0,40.2437,116.41071
1604887629.0,2020-11-09 02:07:00,B6511,CCA1803,2964.18,513.004,253.0,40.25285,116.36627
1604887659.0,2020-11-09 02:07:30,B6511,CCA1803,3185.16,572.268,234.0,40.2469,116.34393
1604887680.0,2020-11-09 02:08:00,B6511,CCA1803,3337.56,585.232,234.0,40.21706,116.28827
1604887712.0,2020-11-09 02:08:30,B6511,CCA1803,3893.82,648.2,234.0,40.19513,116.24762
1604887740.0,2020-11-09 02:09:00,B6511,CCA1803,4305.3,664.868,236.0,40.17137,116.20349
1604887771.0,2020-11-09 02:09:30,B6511,CCA1803,4732.02,681.5360000000002,236.0,40.13273,116.13167
1604887801.0,2020-11-09 02:10:00,B6511,CCA1803,5204.46,698.204,236.0,40.09865,116.06825
1604887831.0,2020-11-09 02:10:30,B6511,CCA1803,5585.46,714.872,235.0,40.06728,116.01007
1604887862.0,2020-11-09 02:11:00,B6511,CCA1803,5905.5,733.3919999999998,235.0,40.06095,115.99833
1604887898.0,2020-11-09 02:11:30,B6511,CCA1803,6004.56,733.3919999999998,235.0,39.99373,115.87418
1604887932.0,2020-11-09 02:12:00,B6511,CCA1803,6012.18,727.836,235.0,39.95746,115.80745
1604887962.0,2020-11-09 02:12:30,B6511,CCA1803,6248.4,737.096,235.0,39.92775,115.75262
1604887982.0,2020-11-09 02:13:00,B6511,CCA1803,6537.96,738.948,235.0,39.90912,115.71828
1604888013.0,2020-11-09 02:13:30,B6511,CCA1803,6896.1,755.6160000000001,235.0,39.87868,115.66233
1604888042.0,2020-11-09 02:14:00,B6511,CCA1803,7223.76,764.8760000000002,235.0,39.85117,115.61194
1604888073.0,2020-11-09 02:14:30,B6511,CCA1803,7559.04,766.7280000000002,235.0,39.80477,115.5271
1604888102.0,2020-11-09 02:15:00,B6511,CCA1803,7780.02,787.1,235.0,39.77223,115.4671
1604888142.0,2020-11-09 02:15:30,B6511,CCA1803,7802.88,792.6560000000002,241.0,39.7343,115.37955
1604888169.0,2020-11-09 02:16:00,B6511,CCA1803,7802.88,781.544,243.0,39.72372,115.35242
1604888195.0,2020-11-09 02:16:30,B6511,CCA1803,7802.88,785.248,243.0,39.69812,115.28784
1604888221.0,2020-11-09 02:17:00,B6511,CCA1803,7802.88,785.248,243.0,39.67047,115.21851
1604888255.0,2020-11-09 02:17:30,B6511,CCA1803,7802.88,785.248,243.0,39.63812,115.13761
1604888286.0,2020-11-09 02:18:00,B6511,CCA1803,7802.88,781.544,243.0,39.60427,115.05292
1604888314.0,2020-11-09 02:18:30,B6511,CCA1803,7802.88,783.3960000000002,243.0,39.58272,114.99902
1604888350.0,2020-11-09 02:19:00,B6511,CCA1803,7802.88,781.544,243.0,39.5576,114.93646
1604888381.0,2020-11-09 02:19:30,B6511,CCA1803,7802.88,787.1,243.0,39.52667,114.85944
1604888410.0,2020-11-09 02:20:00,B6511,CCA1803,7802.88,785.248,243.0,39.49259,114.7749
1604888431.0,2020-11-09 02:20:30,B6511,CCA1803,7802.88,785.248,243.0,39.48138,114.7473
1604888462.0,2020-11-09 02:21:00,B6511,CCA1803,7802.88,787.1,243.0,39.44613,114.66016
